Provider,inpatient_claims,inpatient_total_reimbursement,inpatient_avg_reimbursement,inpatient_median_reimbursement,inpatient_unique_beneficiaries,avg_length_of_stay,max_length_of_stay,high_cost_inpatient_claims,high_cost_inpatient_rate,outpatient_claims,outpatient_total_reimbursement,outpatient_avg_reimbursement,outpatient_median_reimbursement,outpatient_unique_beneficiaries,high_cost_outpatient_claims,high_cost_outpatient_rate,total_claims,total_reimbursement,avg_reimbursement_per_claim,total_unique_beneficiaries_x,total_unique_beneficiaries_y,total_unique_beneficiaries,claims_per_beneficiary,reimbursement_per_beneficiary,total_high_cost_claims,overall_high_cost_rate,inpatient_claim_mix,outpatient_claim_mix,inpatient_total_deductible,outpatient_total_deductible,total_deductible,avg_diagnosis_codes,avg_procedure_codes,PotentialFraud
PRV51031,28.0,329000.0,11750.0,7500.0,26.0,5.535714285714286,18.0,4.0,0.14285714285714285,157.0,30720.0,195.6687898089172,70.0,135.0,9.0,0.05732484076433121,185.0,359720.0,1944.4324324324325,157,157,157,1.178343949044586,2291.2101910828023,13.0,0.07027027027027027,0.15135135135135136,0.8486486486486486,29904.0,340.0,30244.0,8.392857142857142,0.8928571428571429,No
PRV51035,1.0,29000.0,29000.0,29000.0,1.0,14.0,14.0,1.0,1.0,29.0,3560.0,122.75862068965517,60.0,24.0,1.0,0.034482758620689655,30.0,32560.0,1085.3333333333333,25,25,25,1.2,1302.4,2.0,0.06666666666666667,0.03333333333333333,0.9666666666666667,1068.0,360.0,1428.0,9.0,1.0,No
PRV51037,23.0,214000.0,9304.347826086956,7000.0,21.0,4.565217391304348,17.0,2.0,0.08695652173913043,431.0,128230.0,297.51740139211137,80.0,202.0,49.0,0.1136890951276102,454.0,342230.0,753.8105726872246,206,206,206,2.203883495145631,1661.3106796116506,51.0,0.11233480176211454,0.05066079295154185,0.9493392070484582,24564.0,960.0,25524.0,8.043478260869565,0.5652173913043478,Yes
PRV51038,30.0,229600.0,7653.333333333333,7000.0,26.0,4.033333333333333,24.0,0.0,0.0,111.0,35890.0,323.3333333333333,90.0,83.0,14.0,0.12612612612612611,141.0,265490.0,1882.9078014184397,107,107,107,1.3177570093457944,2481.214953271028,14.0,0.09929078014184398,0.2127659574468085,0.7872340425531915,30972.0,220.0,31192.0,7.3,0.5,No
PRV51040,9.0,63000.0,7000.0,5000.0,8.0,10.555555555555555,33.0,1.0,0.1111111111111111,77.0,11470.0,148.96103896103895,60.0,62.0,3.0,0.03896103896103896,86.0,74470.0,865.9302325581396,69,69,69,1.2463768115942029,1079.2753623188405,4.0,0.046511627906976744,0.10465116279069768,0.8953488372093024,8544.0,240.0,8784.0,7.777777777777778,0.7777777777777778,No
PRV51046,8.0,101000.0,12625.0,10000.0,7.0,4.5,9.0,1.0,0.125,30.0,8370.0,279.0,100.0,19.0,2.0,0.06666666666666667,38.0,109370.0,2878.157894736842,26,26,26,1.4615384615384615,4206.538461538462,3.0,0.07894736842105263,0.21052631578947367,0.7894736842105263,8544.0,100.0,8644.0,8.0,0.625,No
PRV51048,4.0,19000.0,4750.0,4500.0,4.0,4.75,10.0,0.0,0.0,34.0,8700.0,255.88235294117646,95.0,30.0,2.0,0.058823529411764705,38.0,27700.0,728.9473684210526,33,33,33,1.1515151515151516,839.3939393939394,2.0,0.05263157894736842,0.10526315789473684,0.8947368421052632,4272.0,80.0,4352.0,8.5,0.75,No
PRV51052,2.0,14000.0,7000.0,7000.0,2.0,9.0,14.0,0.0,0.0,44.0,16800.0,381.8181818181818,60.0,36.0,8.0,0.18181818181818182,46.0,30800.0,669.5652173913044,37,37,37,1.2432432432432432,832.4324324324324,8.0,0.17391304347826086,0.043478260869565216,0.9565217391304348,2136.0,210.0,2346.0,8.5,0.5,Yes
PRV51053,1.0,8000.0,8000.0,8000.0,1.0,5.0,5.0,0.0,0.0,,,,,,,,,,0.0,1,1,1,0.0,0.0,,0.0,0.0,0.0,1068.0,0.0,1068.0,9.0,1.0,No
PRV51055,2.0,16700.0,8350.0,8350.0,2.0,5.5,6.0,0.0,0.0,20.0,4940.0,247.0,65.0,20.0,2.0,0.1,22.0,21640.0,983.6363636363636,22,22,22,1.0,983.6363636363636,2.0,0.09090909090909091,0.09090909090909091,0.9090909090909091,2136.0,70.0,2206.0,9.0,1.0,No
PRV51056,2.0,8000.0,4000.0,4000.0,2.0,3.0,5.0,0.0,0.0,20.0,6700.0,335.0,75.0,19.0,3.0,0.15,22.0,14700.0,668.1818181818181,21,21,21,1.0476190476190477,700.0,3.0,0.13636363636363635,0.09090909090909091,0.9090909090909091,2136.0,10.0,2146.0,7.5,1.0,No
PRV51058,5.0,91000.0,18200.0,7000.0,5.0,7.4,16.0,1.0,0.2,78.0,16030.0,205.51282051282053,70.0,71.0,7.0,0.08974358974358974,83.0,107030.0,1289.5180722891566,75,75,75,1.1066666666666667,1427.0666666666666,8.0,0.0963855421686747,0.060240963855421686,0.9397590361445783,5340.0,200.0,5540.0,8.4,1.0,No
PRV51059,25.0,401000.0,16040.0,10000.0,23.0,6.88,35.0,5.0,0.2,71.0,20060.0,282.53521126760563,90.0,60.0,6.0,0.08450704225352113,96.0,421060.0,4386.041666666667,82,82,82,1.170731707317073,5134.878048780488,11.0,0.11458333333333333,0.2604166666666667,0.7395833333333334,26700.0,240.0,26940.0,8.88,0.96,Yes
PRV51060,5.0,35000.0,7000.0,5000.0,5.0,4.8,9.0,0.0,0.0,37.0,8710.0,235.40540540540542,90.0,37.0,4.0,0.10810810810810811,42.0,43710.0,1040.7142857142858,42,42,42,1.0,1040.7142857142858,4.0,0.09523809523809523,0.11904761904761904,0.8809523809523809,5340.0,0.0,5340.0,8.4,0.0,No
PRV51061,1.0,3000.0,3000.0,3000.0,1.0,8.0,8.0,0.0,0.0,144.0,51940.0,360.69444444444446,100.0,66.0,16.0,0.1111111111111111,145.0,54940.0,378.8965517241379,67,67,67,2.1641791044776117,820.0,16.0,0.1103448275862069,0.006896551724137931,0.993103448275862,1068.0,260.0,1328.0,7.0,2.0,No
PRV51062,3.0,45000.0,15000.0,16000.0,3.0,4.333333333333333,6.0,1.0,0.3333333333333333,394.0,108380.0,275.0761421319797,80.0,164.0,43.0,0.10913705583756345,397.0,153380.0,386.3476070528967,166,166,166,2.391566265060241,923.9759036144578,44.0,0.11083123425692695,0.007556675062972292,0.9924433249370277,3204.0,740.0,3944.0,9.0,1.6666666666666667,No
PRV51064,36.0,280000.0,7777.777777777777,6000.0,34.0,5.305555555555555,29.0,2.0,0.05555555555555555,267.0,80320.0,300.8239700374532,80.0,198.0,37.0,0.13857677902621723,303.0,360320.0,1189.1749174917493,227,227,227,1.3348017621145374,1587.3127753303966,39.0,0.12871287128712872,0.1188118811881188,0.8811881188118812,38448.0,500.0,38948.0,7.833333333333333,0.7222222222222222,Yes
PRV51065,10.0,75000.0,7500.0,7500.0,10.0,5.6,17.0,0.0,0.0,18.0,1570.0,87.22222222222223,55.0,16.0,0.0,0.0,28.0,76570.0,2734.6428571428573,26,26,26,1.0769230769230769,2945.0,0.0,0.0,0.35714285714285715,0.6428571428571429,9612.0,110.0,9722.0,8.9,0.9,No
PRV51066,2.0,19000.0,9500.0,9500.0,2.0,2.0,3.0,0.0,0.0,22.0,5790.0,263.1818181818182,80.0,19.0,2.0,0.09090909090909091,24.0,24790.0,1032.9166666666667,21,21,21,1.1428571428571428,1180.4761904761904,2.0,0.08333333333333333,0.08333333333333333,0.9166666666666666,2136.0,100.0,2236.0,7.5,1.0,No
PRV51067,12.0,326000.0,27166.666666666668,20500.0,11.0,6.583333333333333,23.0,7.0,0.5833333333333334,46.0,8520.0,185.2173913043478,55.0,39.0,4.0,0.08695652173913043,58.0,334520.0,5767.586206896552,49,49,49,1.183673469387755,6826.938775510204,11.0,0.1896551724137931,0.20689655172413793,0.7931034482758621,12816.0,280.0,13096.0,8.916666666666666,1.0833333333333333,Yes
PRV51068,9.0,77000.0,8555.555555555555,8000.0,9.0,3.0,6.0,0.0,0.0,252.0,66260.0,262.93650793650795,80.0,206.0,23.0,0.09126984126984126,261.0,143260.0,548.8888888888889,214,214,214,1.219626168224299,669.4392523364486,23.0,0.08812260536398467,0.034482758620689655,0.9655172413793104,8544.0,440.0,8984.0,7.777777777777778,0.3333333333333333,No
PRV51070,10.0,101000.0,10100.0,10000.0,10.0,4.1,15.0,1.0,0.1,89.0,24410.0,274.2696629213483,80.0,61.0,9.0,0.10112359550561797,99.0,125410.0,1266.7676767676767,69,69,69,1.434782608695652,1817.536231884058,10.0,0.10101010101010101,0.10101010101010101,0.898989898989899,10680.0,300.0,10980.0,7.7,0.6,No
PRV51072,12.0,72000.0,6000.0,4000.0,12.0,4.25,13.0,0.0,0.0,200.0,47170.0,235.85,70.0,150.0,20.0,0.1,212.0,119170.0,562.122641509434,160,160,160,1.325,744.8125,20.0,0.09433962264150944,0.05660377358490566,0.9433962264150944,11748.0,430.0,12178.0,8.833333333333334,0.5,No
PRV51074,5.0,31000.0,6200.0,3000.0,5.0,2.6,4.0,0.0,0.0,34.0,10170.0,299.11764705882354,100.0,34.0,5.0,0.14705882352941177,39.0,41170.0,1055.6410256410256,39,39,39,1.0,1055.6410256410256,5.0,0.1282051282051282,0.1282051282051282,0.8717948717948718,5340.0,80.0,5420.0,8.2,0.2,No
PRV51077,16.0,199000.0,12437.5,6000.0,13.0,5.9375,19.0,3.0,0.1875,17.0,5350.0,314.70588235294116,70.0,17.0,2.0,0.11764705882352941,33.0,204350.0,6192.424242424242,30,30,30,1.1,6811.666666666667,5.0,0.15151515151515152,0.48484848484848486,0.5151515151515151,16020.0,200.0,16220.0,7.9375,0.5,Yes
PRV51078,9.0,76000.0,8444.444444444445,9000.0,9.0,6.666666666666667,21.0,0.0,0.0,14.0,2270.0,162.14285714285714,65.0,14.0,1.0,0.07142857142857142,23.0,78270.0,3403.0434782608695,23,23,23,1.0,3403.0434782608695,1.0,0.043478260869565216,0.391304347826087,0.6086956521739131,8544.0,100.0,8644.0,8.88888888888889,0.8888888888888888,No
PRV51081,6.0,79000.0,13166.666666666666,8000.0,6.0,6.0,10.0,1.0,0.16666666666666666,194.0,45080.0,232.37113402061857,80.0,125.0,16.0,0.08247422680412371,200.0,124080.0,620.4,131,131,131,1.5267175572519085,947.175572519084,17.0,0.085,0.03,0.97,6408.0,760.0,7168.0,8.333333333333334,1.5,No
PRV51084,20.0,191000.0,9550.0,6000.0,19.0,5.65,28.0,2.0,0.1,90.0,24580.0,273.1111111111111,75.0,67.0,8.0,0.08888888888888889,110.0,215580.0,1959.8181818181818,85,85,85,1.2941176470588236,2536.235294117647,10.0,0.09090909090909091,0.18181818181818182,0.8181818181818182,21360.0,530.0,21890.0,8.4,0.7,Yes
PRV51086,31.0,413000.0,13322.58064516129,9000.0,30.0,4.838709677419355,11.0,5.0,0.16129032258064516,108.0,33170.0,307.1296296296296,80.0,86.0,13.0,0.12037037037037036,139.0,446170.0,3209.856115107914,115,115,115,1.208695652173913,3879.7391304347825,18.0,0.12949640287769784,0.22302158273381295,0.7769784172661871,33108.0,60.0,33168.0,8.548387096774194,0.7741935483870968,No
PRV51089,18.0,177000.0,9833.333333333334,5500.0,18.0,5.166666666666667,14.0,3.0,0.16666666666666666,210.0,53900.0,256.6666666666667,70.0,179.0,19.0,0.09047619047619047,228.0,230900.0,1012.719298245614,197,197,197,1.1573604060913705,1172.0812182741117,22.0,0.09649122807017543,0.07894736842105263,0.9210526315789473,18156.0,540.0,18696.0,8.444444444444445,0.9444444444444444,No
PRV51093,2.0,11000.0,5500.0,5500.0,2.0,6.0,11.0,0.0,0.0,7.0,2710.0,387.14285714285717,80.0,7.0,1.0,0.14285714285714285,9.0,13710.0,1523.3333333333333,9,9,9,1.0,1523.3333333333333,1.0,0.1111111111111111,0.2222222222222222,0.7777777777777778,2136.0,0.0,2136.0,9.0,1.0,No
PRV51100,5.0,78000.0,15600.0,17000.0,5.0,6.0,9.0,1.0,0.2,,,,,,,,,,0.0,5,5,5,0.0,0.0,,0.0,0.0,0.0,5340.0,0.0,5340.0,8.6,0.8,No
PRV51101,3.0,16600.0,5533.333333333333,3000.0,3.0,3.3333333333333335,6.0,0.0,0.0,,,,,,,,,,0.0,3,3,3,0.0,0.0,,0.0,0.0,0.0,3204.0,0.0,3204.0,7.333333333333333,0.3333333333333333,No
PRV51102,12.0,148000.0,12333.333333333334,9000.0,11.0,4.0,10.0,1.0,0.08333333333333333,,,,,,,,,,0.0,11,11,11,0.0,0.0,,0.0,0.0,0.0,12816.0,0.0,12816.0,8.333333333333334,0.9166666666666666,No
PRV51108,19.0,156000.0,8210.526315789473,7000.0,19.0,5.2631578947368425,16.0,1.0,0.05263157894736842,,,,,,,,,,0.0,19,19,19,0.0,0.0,,0.0,0.0,0.0,19224.0,0.0,19224.0,7.578947368421052,0.3157894736842105,No
PRV51109,3.0,18000.0,6000.0,7000.0,3.0,6.333333333333333,9.0,0.0,0.0,,,,,,,,,,0.0,3,3,3,0.0,0.0,,0.0,0.0,0.0,3204.0,0.0,3204.0,8.666666666666666,1.3333333333333333,No
PRV51110,5.0,27000.0,5400.0,4000.0,5.0,10.2,28.0,0.0,0.0,,,,,,,,,,0.0,5,5,5,0.0,0.0,,0.0,0.0,0.0,5340.0,0.0,5340.0,9.4,0.8,No
PRV51118,16.0,136000.0,8500.0,7500.0,16.0,4.25,13.0,2.0,0.125,,,,,,,,,,0.0,16,16,16,0.0,0.0,,0.0,0.0,0.0,14952.0,0.0,14952.0,7.8125,0.875,No
PRV51119,94.0,985000.0,10478.72340425532,6000.0,81.0,5.9787234042553195,35.0,10.0,0.10638297872340426,1.0,95580.0,95580.0,95580.0,1.0,1.0,1.0,95.0,1080580.0,11374.526315789473,81,81,81,1.1728395061728396,13340.493827160493,11.0,0.11578947368421053,0.9894736842105263,0.010526315789473684,96120.0,865.0,96985.0,8.01063829787234,0.776595744680851,Yes
PRV51120,7.0,52000.0,7428.571428571428,8000.0,7.0,4.142857142857143,6.0,0.0,0.0,,,,,,,,,,0.0,7,7,7,0.0,0.0,,0.0,0.0,0.0,7476.0,0.0,7476.0,9.142857142857142,0.7142857142857143,No
PRV51121,6.0,81000.0,13500.0,5500.0,6.0,6.5,10.0,1.0,0.16666666666666666,1.0,80.0,80.0,80.0,1.0,0.0,0.0,7.0,81080.0,11582.857142857143,7,7,7,1.0,11582.857142857143,1.0,0.14285714285714285,0.8571428571428571,0.14285714285714285,6408.0,0.0,6408.0,7.666666666666667,0.8333333333333334,No
PRV51123,2.0,9000.0,4500.0,4500.0,2.0,2.5,4.0,0.0,0.0,29.0,17910.0,617.5862068965517,200.0,28.0,8.0,0.27586206896551724,31.0,26910.0,868.0645161290323,28,28,28,1.1071428571428572,961.0714285714286,8.0,0.25806451612903225,0.06451612903225806,0.9354838709677419,2136.0,40.0,2176.0,9.0,0.5,No
PRV51125,12.0,110000.0,9166.666666666666,6500.0,12.0,4.333333333333333,11.0,1.0,0.08333333333333333,36.0,21310.0,591.9444444444445,100.0,20.0,8.0,0.2222222222222222,48.0,131310.0,2735.625,32,32,32,1.5,4103.4375,9.0,0.1875,0.25,0.75,12816.0,280.0,13096.0,8.5,0.8333333333333334,No
PRV51126,20.0,177000.0,8850.0,7500.0,14.0,6.5,28.0,2.0,0.1,,,,,,,,,,0.0,14,14,14,0.0,0.0,,0.0,0.0,0.0,21360.0,0.0,21360.0,8.05,0.7,Yes
PRV51128,5.0,90000.0,18000.0,19000.0,3.0,6.4,12.0,2.0,0.4,45.0,12220.0,271.55555555555554,90.0,37.0,3.0,0.06666666666666667,50.0,102220.0,2044.4,38,38,38,1.3157894736842106,2690.0,5.0,0.1,0.1,0.9,5340.0,0.0,5340.0,8.4,0.6,No
PRV51132,1.0,4000.0,4000.0,4000.0,1.0,4.0,4.0,0.0,0.0,7.0,1330.0,190.0,30.0,5.0,1.0,0.14285714285714285,8.0,5330.0,666.25,6,6,6,1.3333333333333333,888.3333333333334,1.0,0.125,0.125,0.875,1068.0,0.0,1068.0,7.0,1.0,No
PRV51136,1.0,20000.0,20000.0,20000.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,0.0,1,1,1,0.0,0.0,,0.0,0.0,0.0,1068.0,0.0,1068.0,9.0,2.0,No
PRV51137,1.0,6000.0,6000.0,6000.0,1.0,7.0,7.0,0.0,0.0,54.0,10050.0,186.11111111111111,60.0,50.0,3.0,0.05555555555555555,55.0,16050.0,291.8181818181818,51,51,51,1.0784313725490196,314.70588235294116,3.0,0.05454545454545454,0.01818181818181818,0.9818181818181818,1068.0,280.0,1348.0,9.0,1.0,No
PRV51138,1.0,6000.0,6000.0,6000.0,1.0,1.0,1.0,0.0,0.0,25.0,7430.0,297.2,60.0,20.0,2.0,0.08,26.0,13430.0,516.5384615384615,21,21,21,1.2380952380952381,639.5238095238095,2.0,0.07692307692307693,0.038461538461538464,0.9615384615384616,1068.0,0.0,1068.0,5.0,1.0,No
PRV51139,7.0,41300.0,5900.0,4000.0,7.0,3.857142857142857,8.0,0.0,0.0,36.0,11280.0,313.3333333333333,60.0,35.0,5.0,0.1388888888888889,43.0,52580.0,1222.7906976744187,42,42,42,1.0238095238095237,1251.904761904762,5.0,0.11627906976744186,0.16279069767441862,0.8372093023255814,7476.0,40.0,7516.0,8.714285714285714,0.14285714285714285,No
PRV51140,47.0,307400.0,6540.425531914893,6000.0,45.0,6.0212765957446805,29.0,0.0,0.0,440.0,145730.0,331.20454545454544,70.0,363.0,50.0,0.11363636363636363,487.0,453130.0,930.4517453798768,394,394,394,1.236040609137056,1150.0761421319796,50.0,0.1026694045174538,0.09650924024640657,0.9034907597535934,49128.0,1290.0,50418.0,7.957446808510638,0.5319148936170213,No
PRV51142,7.0,97000.0,13857.142857142857,5000.0,5.0,7.428571428571429,22.0,1.0,0.14285714285714285,44.0,7570.0,172.04545454545453,60.0,35.0,3.0,0.06818181818181818,51.0,104570.0,2050.392156862745,38,38,38,1.3421052631578947,2751.842105263158,4.0,0.0784313725490196,0.13725490196078433,0.8627450980392157,7476.0,60.0,7536.0,8.857142857142858,0.8571428571428571,No
PRV51144,4.0,53000.0,13250.0,8500.0,4.0,5.0,13.0,1.0,0.25,26.0,8220.0,316.15384615384613,95.0,25.0,2.0,0.07692307692307693,30.0,61220.0,2040.6666666666667,29,29,29,1.0344827586206897,2111.0344827586205,3.0,0.1,0.13333333333333333,0.8666666666666667,4272.0,220.0,4492.0,8.75,0.75,No
PRV51145,161.0,1600600.0,9941.614906832297,7000.0,125.0,5.937888198757764,35.0,18.0,0.11180124223602485,41.0,5750.0,140.2439024390244,90.0,39.0,2.0,0.04878048780487805,202.0,1606350.0,7952.227722772277,161,161,161,1.2546583850931676,9977.329192546584,20.0,0.09900990099009901,0.7970297029702971,0.20297029702970298,166608.0,140.0,166748.0,7.925465838509317,0.8074534161490683,Yes
PRV51146,162.0,1618200.0,9988.888888888889,7000.0,157.0,5.049382716049383,30.0,14.0,0.08641975308641975,190.0,62710.0,330.05263157894734,75.0,177.0,24.0,0.12631578947368421,352.0,1680910.0,4775.3125,334,334,334,1.0538922155688624,5032.664670658683,38.0,0.10795454545454546,0.4602272727272727,0.5397727272727273,170880.0,790.0,171670.0,8.0,0.691358024691358,Yes
PRV51148,34.0,398400.0,11717.64705882353,8500.0,33.0,4.029411764705882,15.0,6.0,0.17647058823529413,296.0,90260.0,304.93243243243245,80.0,230.0,40.0,0.13513513513513514,330.0,488660.0,1480.7878787878788,263,263,263,1.2547528517110267,1858.0228136882129,46.0,0.1393939393939394,0.10303030303030303,0.896969696969697,35244.0,1050.0,36294.0,8.176470588235293,0.9117647058823529,Yes
PRV51149,116.0,1113000.0,9594.827586206897,7000.0,108.0,5.612068965517241,26.0,11.0,0.09482758620689655,32.0,7680.0,240.0,50.0,28.0,2.0,0.0625,148.0,1120680.0,7572.1621621621625,136,136,136,1.088235294117647,8240.29411764706,13.0,0.08783783783783784,0.7837837837837838,0.21621621621621623,123888.0,70.0,123958.0,8.181034482758621,0.7155172413793104,Yes
PRV51151,22.0,142000.0,6454.545454545455,5000.0,22.0,4.181818181818182,9.0,0.0,0.0,211.0,59300.0,281.042654028436,70.0,203.0,24.0,0.11374407582938388,233.0,201300.0,863.9484978540772,225,225,225,1.0355555555555556,894.6666666666666,24.0,0.10300429184549356,0.0944206008583691,0.9055793991416309,22428.0,870.0,23298.0,8.0,0.6363636363636364,No
PRV51153,4.0,51000.0,12750.0,7000.0,4.0,8.75,15.0,1.0,0.25,83.0,20490.0,246.86746987951807,80.0,79.0,7.0,0.08433734939759036,87.0,71490.0,821.7241379310345,83,83,83,1.0481927710843373,861.3253012048193,8.0,0.09195402298850575,0.04597701149425287,0.9540229885057471,4272.0,630.0,4902.0,7.5,1.25,No
PRV51159,65.0,635660.0,9779.384615384615,8000.0,60.0,5.630769230769231,35.0,7.0,0.1076923076923077,504.0,162130.0,321.68650793650795,80.0,448.0,59.0,0.11706349206349206,569.0,797790.0,1402.091388400703,506,506,506,1.1245059288537549,1576.6600790513835,66.0,0.11599297012302284,0.11423550087873462,0.8857644991212654,69420.0,1030.0,70450.0,8.03076923076923,0.6461538461538462,Yes
PRV51160,90.0,866000.0,9622.222222222223,6500.0,87.0,5.655555555555556,30.0,10.0,0.1111111111111111,24.0,6020.0,250.83333333333334,60.0,24.0,2.0,0.08333333333333333,114.0,872020.0,7649.298245614035,110,110,110,1.0363636363636364,7927.454545454545,12.0,0.10526315789473684,0.7894736842105263,0.21052631578947367,96120.0,20.0,96140.0,7.955555555555556,0.7444444444444445,No
PRV51164,41.0,443000.0,10804.878048780487,7000.0,40.0,6.2926829268292686,30.0,7.0,0.17073170731707318,350.0,113980.0,325.65714285714284,80.0,298.0,44.0,0.12571428571428572,391.0,556980.0,1424.5012787723786,334,334,334,1.1706586826347305,1667.6047904191616,51.0,0.13043478260869565,0.10485933503836317,0.8951406649616368,43788.0,760.0,44548.0,8.487804878048781,0.6341463414634146,No
PRV51165,26.0,306000.0,11769.23076923077,6000.0,26.0,6.576923076923077,35.0,4.0,0.15384615384615385,72.0,23700.0,329.1666666666667,100.0,71.0,9.0,0.125,98.0,329700.0,3364.285714285714,97,97,97,1.0103092783505154,3398.9690721649486,13.0,0.1326530612244898,0.2653061224489796,0.7346938775510204,27768.0,320.0,28088.0,8.192307692307692,1.0,No
PRV51166,1.0,22000.0,22000.0,22000.0,1.0,16.0,16.0,1.0,1.0,4.0,2870.0,717.5,70.0,4.0,1.0,0.25,5.0,24870.0,4974.0,5,5,5,1.0,4974.0,2.0,0.4,0.2,0.8,1068.0,0.0,1068.0,8.0,1.0,No
PRV51168,9.0,63000.0,7000.0,5000.0,9.0,5.222222222222222,15.0,1.0,0.1111111111111111,78.0,17470.0,223.97435897435898,65.0,77.0,7.0,0.08974358974358974,87.0,80470.0,924.9425287356322,86,86,86,1.0116279069767442,935.6976744186046,8.0,0.09195402298850575,0.10344827586206896,0.896551724137931,9612.0,170.0,9782.0,6.888888888888889,0.6666666666666666,No
PRV51170,8.0,145000.0,18125.0,7000.0,8.0,6.25,27.0,3.0,0.375,8.0,820.0,102.5,80.0,8.0,0.0,0.0,16.0,145820.0,9113.75,16,16,16,1.0,9113.75,3.0,0.1875,0.5,0.5,8544.0,0.0,8544.0,8.0,1.0,Yes
